name,date,area,Q_cms,Ca,Mg,Na,K,Cl,SO4,NO3,X_pyrite,X_pyrite_sd,X_rain,X_rain_sd,X_fertilizer,X_fertilizer_sd
SH,2008-06-16T00:00:00Z,0.08,6.149852133487654e-5,551.4,185.11,40.02,43.48,26.7,78.02,5.94,0.7782501762966705,0.10828224888758252,0.218788705830846,0.10559061771184299,NA,NA
SH,2008-06-17T00:00:00Z,0.08,1.063769932645319e-4,436.63,156.31,36.97,43.48,22.89,90.73,NA,0.8257460972039032,0.07406788923307579,0.16783584887146308,0.0705169760088662,NA,NA
SH,2008-06-18T00:00:00Z,0.08,8.022038968460648e-5,466.57,164.54,38.71,38.36,22.94,92.67,NA,0.8423365789901669,0.07643218537289768,0.1490862202405678,0.07153306725034617,NA,NA
SH,2008-06-19T00:00:00Z,0.08,1.596900721129115e-5,484.03,172.77,39.58,38.36,25.06,95.84,1.23,0.840446317442067,0.07646245954087708,0.15197014998641567,0.0726565272098488,NA,NA
SH,2008-06-20T00:00:00Z,0.08,1.3096386321694959e-5,439.12,160.43,40.45,35.81,26.09,99.79,NA,0.8281459055932198,0.07693599903654656,0.16555702645184014,0.06894320015361431,NA,NA
SH,2008-06-20T00:00:00Z,0.08,1.3096386321694959e-5,461.58,160.43,36.97,33.25,23.88,98.13,4.5,0.7998114515244441,0.10907895968589867,0.1942297618084424,0.10401276871638857,NA,NA
SH,2008-06-21T00:00:00Z,0.08,1.6382941098411782e-5,503.99,176.88,37.84,35.81,28.03,92.09,11.43,0.7138177558095106,0.144354036171752,0.28290213703091144,0.14504907333454692,NA,NA
SH,2008-06-22T00:00:00Z,0.08,4.160879624807098e-5,546.41,189.22,40.89,43.48,25.83,84.38,17.45,0.8150592409277,0.07052939005607049,0.17956355048987413,0.0667161738551531,NA,NA
SH,2008-06-23T00:00:00Z,0.08,2.022087192322531e-5,591.32,197.45,40.02,40.92,25.9,79.6,17.57,0.8106298232519851,0.09067412031486526,0.1838879789295545,0.0846941914335877,NA,NA
SH,2008-06-26T00:00:00Z,0.08,5.00096446405607e-6,648.7,205.68,43.5,43.48,26.88,81.5,21.08,0.8170947675358519,0.0887207575670502,0.17632520459827944,0.08480294096158691,NA,NA
SH,2008-06-27T00:00:00Z,0.08,4.428128206098894e-5,573.85,189.22,40.02,46.04,26.53,81.67,20.71,0.7988250554718129,0.10403352041408528,0.20274177693001533,0.09490679737397992,NA,NA
SH,2008-06-28T00:00:00Z,0.08,7.845453949652777e-6,583.83,197.45,40.02,48.59,25.37,73.41,12.85,0.8405420757533547,0.06132322269550268,0.15251309372496835,0.05515241031234155,NA,NA
SH,2008-06-29T00:00:00Z,0.08,6.375385841049383e-6,656.19,209.79,41.76,51.15,24.54,66.94,1.33,0.8201601876737195,0.07213247897407904,0.18300735419471462,0.06649424722157217,NA,NA
SH,2008-06-30T00:00:00Z,0.08,1.4890368008937758e-5,633.73,201.56,41.32,46.04,27.08,67.43,1.21,0.809201199397103,0.07913812786850011,0.1887317415160377,0.0731346286687833,NA,NA
SH,2008-07-01T00:00:00Z,0.08,1.2869727381365743e-5,663.67,205.68,42.63,48.59,25.38,66.2,3.31,0.8235186080351938,0.07083675810528325,0.1792875167495034,0.06488391261877852,NA,NA
