site,date,Ca,Mg,Na,K,Cl,NO3,SO4,name,river,Ca_SO4,Mg_SO4,Na_SO4,K_SO4,Cl_SO4,NO3_SO4
21PA_WQX-WQN0201,2014-03-15,0.4930385747791805,0.22094219296441062,0.5741684485824977,0.052610983086221134,0.6808168561193694,0.06900269156903482,0.23354153653966273,S2,SUSQUEHANNA RIVER,2.1111386954305105,0.9460509519551253,2.4585281791403553,0.22527462936892226,2.915185307962317,0.29546218026751736
21PA_WQX-WQN0201,2014-10-14,0.8296322171765057,0.42789549475416583,0.8155801826455934,0.06199758045746234,0.8927312216173525,0.04669194028572041,0.5618467624401416,S2,SUSQUEHANNA RIVER,1.476616530766062,0.7615875419407675,1.4516060911403474,0.11034606693861207,1.5889229613785714,0.08310440391777625
21PA_WQX-WQN0305,2018-11-29,0.384250711113329,0.12425426866899815,0.45237514130742246,0.03887637058388728,0.4858404084280596,0.04115887396745843,0.06471267957526546,S8,SUSQUEHANNA RIVER,5.937796327324354,1.920091541325863,6.990517844053698,0.6007535283509825,7.507654011807571,0.6360248754587225
21PA_WQX-WQN0323,2019-03-07,0.7136084634961825,0.19790166632380168,0.8873512387184055,0.03018034032170197,0.985248074916086,0.06425496369594551,0.10930668332292318,S7,SUSQUEHANNA RIVER,6.528498000327932,1.8105175301966085,8.11799618964667,0.27610699917168485,9.013612388232307,0.5878411250126214
21PA_WQX-WQN0203,2019-05-06,0.41868356704426357,0.16947130220119316,0.4358460496058051,0.03833926283239936,0.4800609257326601,0.038231703399087574,0.1681480324797002,S4,SUSQUEHANNA RIVER,2.4899700631038275,1.0078696711580775,2.5920377608844336,0.2280089886691234,2.8549898482494336,0.22736931759045784
21PA_WQX-WQN0301,2016-10-13,0.768501422226658,0.40279777823493107,1.2831794873624003,0.06465754265530727,1.4385242433644543,0.014850036054174075,0.5598896523006455,S5,SUSQUEHANNA RIVER,1.3725944372588506,0.7194235088642782,2.2918435482593416,0.11548265339361537,2.5692995708232984,0.026523147897364624
21PA_WQX-WQN0302,2014-10-14,0.8283846499326314,0.3600082287595145,1.2222828337248626,0.06227892261300362,1.3313400840549459,0.023417364546966808,0.41011867582760775,S6,SUSQUEHANNA RIVER,2.0198657090194074,0.8778147643070099,2.9803149814095415,0.1518558560819659,3.2462313045567597,0.057098995796061314
21PA_WQX-WQN0301,2018-05-23,0.3856978891162233,0.1714050606871014,0.5067906510935365,0.05053928175905346,0.5213437508814486,0.04240827603932403,0.1233656048303144,S5,SUSQUEHANNA RIVER,3.126462109489423,1.3894072089450198,4.108038474667323,0.40967076543392045,4.226005713655284,0.3437609380479698
21PA_WQX-WQN0305,2019-06-21,0.5139977044762712,0.19008434478502362,0.591567492478937,0.05396654074473826,0.588897977604152,0.03287712309109212,0.06212679575265458,S8,SUSQUEHANNA RIVER,8.273365755456798,3.059619323388356,9.521937922473013,0.8686516034014574,9.478969106160433,0.5291939282042778
21PA_WQX-WQN0305,2016-08-15,0.6637057737412047,0.18798601110882535,0.9395483704077237,0.04527051048255295,0.9028573040363297,0.008103264866099795,0.09547158026233603,S8,SUSQUEHANNA RIVER,6.9518674763471955,1.969025867093421,9.841131442739718,0.474177869038713,9.456817427295807,0.08487619921901061
21PA_WQX-WQN0202,2019-04-30,0.4084535156444932,0.18099156552149764,0.39574125342451244,0.03353086962860277,0.4137082898485318,0.05893608059000336,0.1941869664792838,S3,SUSQUEHANNA RIVER,2.103403349102051,0.9320479577129918,2.037939314875341,0.17267312135585527,2.1304637347670137,0.30350173164835326
21PA_WQX-WQN0301,2014-06-17,0.5713857976944956,0.21666323801686896,0.9004005216407353,0.047751436763235226,0.9279891687586381,0.01966915833136999,0.16581303352071622,S5,SUSQUEHANNA RIVER,3.445964322358943,1.3066719389691381,5.430215602009608,0.2879836147335746,5.596599670451706,0.11862251062979666
21PA_WQX-WQN0301,2015-12-30,0.4892958730475573,0.15293149557704178,0.5624240939524012,0.04074345943429765,0.6353764138436803,0.042479670443430644,0.1279200499687695,S5,SUSQUEHANNA RIVER,3.825013148189157,1.1955240450138864,4.396684445399387,0.3185072195034695,4.966980657049474,0.33207984560513903
21PA_WQX-WQN0214,2018-04-12,0.6417485902490143,0.26311458547623945,0.3698166780188179,0.03649775054158364,0.4555608834231236,0.09656093155418478,0.19201540703726833,J1,JUNIATA RIVER,3.3421723816384024,1.3702785080426982,1.9259739815932586,0.190077197995366,2.372522551457049,0.5028811648194629
21PA_WQX-WQN0203,2014-02-06,0.6741853385897499,0.29232668175272575,0.5754733768747307,0.03445162577401063,0.7456632725016218,0.06664667623351682,0.3923589423277119,S4,SUSQUEHANNA RIVER,1.71828717497828,0.7450491124745776,1.4667013155369228,0.08780639882864051,1.9004620312153298,0.16986149426881467
21PA_WQX-WQN0306,2017-07-19,0.5264733769150157,0.108372762806007,0.3705996349941576,0.031280132384272456,0.3539897892985079,0.029985649724774573,0.05756818655007287,S9,SUSQUEHANNA RIVER,9.14521384926879,1.8825113191944,6.437577023063071,0.5433579596443422,6.149052289333575,0.520871882922576
21PA_WQX-WQN0214,2019-05-06,0.4915414940865312,0.2098333676198313,0.29012905697312574,0.05294347836095175,0.2943812935435647,0.10102308181084765,0.12201124297314178,J1,JUNIATA RIVER,4.028657377047899,1.7197871483533833,2.377887888880794,0.4339229489909069,2.412739075270027,0.8279817445437038
21PA_WQX-WQN0302,2015-05-13,0.7016318179549877,0.2609339642048961,0.810142981427956,0.040896918791865626,0.9364510760725467,0.011244618646790466,0.258702894024568,S6,SUSQUEHANNA RIVER,2.712114298529481,1.0086240634792292,3.1315574743861196,0.15808450441216096,3.6197935844645626,0.04346537633136261
21PA_WQX-WQN0301,2017-01-13,0.5385747791805977,0.18354248097099363,0.962297620302318,0.03864618154753531,1.0542972385975797,0.06639679581914369,0.16686445971267957,S5,SUSQUEHANNA RIVER,3.2276182723868123,1.099949511639756,5.766941755957369,0.23160223341794509,6.318285154387891,0.3979085536457011
21PA_WQX-WQN0214,2017-10-12,0.9306851639303357,0.45669615305492695,0.5654689266342781,0.08082192831913408,0.5406312582856175,0.07831966130494691,0.2617114303560275,J1,JUNIATA RIVER,3.5561502325834544,1.745037090789828,2.16065811823742,0.30882078099984167,2.0657533281987437,0.2992596127666348
